2015,1,1,82,74,0.28
2015,1,2,83,74,0.02
2015,1,3,86,74,0.08
2015,1,4,87,77,0.01
2015,1,5,88,74,0.02
2015,1,6,90,75,1.26
2015,1,7,87,74,0.00
2015,1,8,87,76,0.16
2015,1,9,88,74,0.24
2015,1,10,86,73,0.35
2015,1,11,89,74,0.28
2015,1,12,88,74,0.55
2015,1,13,86,75,0.51
2015,1,14,87,74,0.00
2015,1,15,86,75,0.39
2015,1,16,86,74,2.01
2015,1,17,87,74,0.00
2015,1,18,86,74,1.57
2015,1,19,86,73,2.52
2015,1,20,86,75,0.43
2015,1,21,85,74,0.63
2015,1,22,86,73,0.24
2015,1,23,86,73,0.00
2015,1,24,85,74,0.98
2015,1,25,86,72,4.53
2015,1,26,86,74,0.98
2015,1,27,87,74,0.00
2015,1,28,87,75,0.45
2015,1,29,87,76,0.00
2015,1,30,87,77,0.00
2015,1,31,86,74,0.00

2015,2,1,86,75,0.16
2015,2,2,88,76,0.00
2015,2,3,86,75,0.0
2015,2,4,85,75,0.0
2015,2,5,86,73,0.0
2015,2,6,86,76,0.0
2015,2,7,86,76,0.0
2015,2,8,85,78,0.00
2015,2,9,85,75,0.0
2015,2,10,86,75,0.0
2015,2,11,85,75,0.0
2015,2,12,86,75,0.0
2015,2,13,86,73,0.0
2015,2,14,86,73,0.08
2015,2,15,86,75,0.20
2015,2,16,86,75,0.51
2015,2,17,87,76,0.00
2015,2,18,87,75,0.02
2015,2,19,87,75,0.00
2015,2,20,89,75,0.0
2015,2,21,86,75,0.20
2015,2,22,91,76,0.02
2015,2,23,88,76,0.00
2015,2,24,87,76,0.0
2015,2,25,87,75,0.0
2015,2,26,88,76,0.00
2015,2,27,88,77,0.01
2015,2,28,86,77,0.00

2015,3,1,89,77,0.33
2015,3,2,88,75,0.33
2015,3,3,85,72,0.33
2015,3,4,87,75,0.00
2015,3,5,87,75,1.65
2015,3,6,88,75,0.00
2015,3,7,90,76,0.00
2015,3,8,88,76,0.08
2015,3,9,89,76,0.00
2015,3,10,90,76,0.33
2015,3,11,88,75,0.33
2015,3,12,86,75,0.33
2015,3,13,87,75,0.33
2015,3,14,88,75,0.33
